sample_idx,raw_prediction,raw_target,predicted_letter,correct_letter,is_correct,id,tid,question_type,difficulty,category,subcategory,relevant_concepts,answer_letter,answer_text,num_options
0,A),"A) No, they have different underlying distribution",A,A,True,1,91,binary,hard,Similarity Analysis,Distributional,"['Gaussian White Noise', 'Red Noise']",A,"No, they have different underlying distribution",2
1,A),C) Decrease,A,C,False,2,17,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",C,Decrease,3
2,A),"A) Yes, they have similar seasonal pattern",A,A,True,3,78,binary,easy,Similarity Analysis,Shape,"['Sine Wave', 'Square Wave']",A,"Yes, they have similar seasonal pattern",2
3,A),A) Time series 1 has higher slope,A,A,True,4,80,binary,easy,Similarity Analysis,Shape,"['Linear Trend', 'Exponential Trend', 'Sine Wave', 'Sawtooth Wave']",A,Time series 1 has higher slope,2
4,A),"A) Yes, they have the same underlying distribution: Gaussian White Noise",A,A,True,5,91,binary,hard,Similarity Analysis,Distributional,"['Gaussian White Noise', 'Red Noise']",A,"Yes, they have the same underlying distribution: Gaussian White Noise",2
5,A),A) Linear,A,A,True,6,7,multiple_choice,hard,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Log Trend']",A,Linear,2
6,A),"B) No, they have different underlying distribution: AR(1) and MA(5)",A,B,False,7,92,binary,hard,Similarity Analysis,Distributional,"['AutoRegressive Process', 'Moving Average Process']",B,"No, they have different underlying distribution: AR(1) and MA(5)",2
7,A),"B) No, they are not granger causal",A,B,False,8,101,binary,hard,Causality Analysis,Granger Causality,['Granger Causality'],B,"No, they are not granger causal",3
8,A),A) Lagging step is between 30 to 45,A,A,True,9,98,multiple_choice,easy,Causality Analysis,Granger Causality,['Lagged Pair'],A,Lagging step is between 30 to 45,3
9,A),A) Exponential,A,A,True,10,1,multiple_choice,easy,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",A,Exponential,3
10,A),C) No trend,A,C,False,11,14,multiple_choice,medium,Pattern Recognition,Trend Recognition,"['Linear Trend', 'Exponential Trend']",C,No trend,3
11,A),B) Multiplicative,A,B,False,12,59,binary,hard,Noise Understanding,Signal to Noise Ratio Understanding,"['Additive Composition', 'Multiplicative Composition', 'Gaussian White Noise']",B,Multiplicative,2
12,A),"A) Yes, time series 1 is a scaled version of time series 2",A,A,True,13,86,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Moving Average Process']",A,"Yes, time series 1 is a scaled version of time series 2",3
13,A),A) Decrease,A,A,True,14,18,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Square Wave', 'Period']",A,Decrease,3
14,A),B) SawtoothWave + SquareWave,A,B,False,15,16,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Sawtooth Wave', 'Additive Composition']",B,SawtoothWave + SquareWave,3
15,A),B) 58.31,A,B,False,16,25,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sawtooth Wave', 'Square Wave', 'Period']",B,58.31,3
16,A),C) Amplitude decrease over time,A,C,False,17,28,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Amplitude']",C,Amplitude decrease over time,3
17,A),B) Yes,A,B,False,18,32,binary,hard,Pattern Recognition,Stationarity Detection,['Stationarity'],B,Yes,2
18,A),B) Yes,A,B,False,19,31,binary,easy,Pattern Recognition,Stationarity Detection,['Stationarity'],B,Yes,2
19,A),C) Cutoff: the pattern of time series disappeared for certain point in time and became flat and Flip: the pattern is flipped at certain point in time,A,C,False,20,68,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Cutoff Anomaly', 'Flip Anomaly', 'Speed Up/Down Anomaly']",C,Cutoff: the pattern of time series disappeared for certain point in time and became flat and Flip: the pattern is flipped at certain point in time,3
20,A),B) Time series 2 with cutoff anomaly: the pattern of time series disappeared for certain point in time and became flat,A,B,False,21,73,multiple_choice,hard,Anolmaly Detection,General Anomaly Detection,"['Sine Wave', 'Linear Trend', 'Speed Up/Down Anomaly', 'Cutoff Anomaly', 'Flip Anomaly']",B,Time series 2 with cutoff anomaly: the pattern of time series disappeared for certain point in time and became flat,3
21,A),"A) Yes, time series 2 is a scaled version of time series 1",A,A,True,22,86,binary,hard,Similarity Analysis,Shape,"['Sine Wave', 'Moving Average Process']",A,"Yes, time series 2 is a scaled version of time series 1",3
22,A),B) Time Series 2,A,B,False,23,49,multiple_choice,hard,Pattern Recognition,AR/MA recognition,"['Moving Average Process', 'Stationarity']",B,Time Series 2,2
23,A),"B) Yes, due to trend reversal",A,B,False,24,69,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Stationarity', 'Linear Trend', 'Sine Wave', 'Cutoff Anomaly', 'Spike Anomaly']",B,"Yes, due to trend reversal",3
24,A),C) varies across time,A,C,False,25,42,multiple_choice,hard,Pattern Recognition,First Two Moment Recognition,['Variance'],C,varies across time,3
25,A),B) Increase,A,B,False,26,19,multiple-choice,hard,Pattern Recognition,Cycle Recognition,"['Sine Wave', 'Square Wave', 'Amplitude']",B,Increase,3
26,A),"A) Yes, they have the same underlying distribution",A,A,True,27,95,binary,hard,Similarity Analysis,Distributional,"['Red Noise', 'AutoRegressive Process', 'Linear Trend']",A,"Yes, they have the same underlying distribution",2
27,A),A) varies across time,A,A,True,28,42,multiple_choice,hard,Pattern Recognition,First Two Moment Recognition,['Variance'],A,varies across time,3
28,A),C) 0,A,C,False,29,42,multiple_choice,hard,Pattern Recognition,First Two Moment Recognition,['Variance'],C,0,3
29,A),A) Yes,A,A,True,30,50,binary,easy,Noise Understanding,White Noise Recognition,['Gaussian White Noise'],A,Yes,2
30,A),"B) No, they have different level of noise",A,B,False,31,88,binary,hard,Similarity Analysis,Shape,"['Gaussian White Noise', 'Variance']",B,"No, they have different level of noise",2
31,A),"C) Yes, due to cutoff",A,C,False,32,69,binary,hard,Anolmaly Detection,General Anomaly Detection,"['Stationarity', 'Linear Trend', 'Sine Wave', 'Cutoff Anomaly', 'Spike Anomaly']",C,"Yes, due to cutoff",3
